,fundname,isincode
0,アジア製造業ファンド,JP90C0000029
1,ＢＡＭワールド・ボンド＆カレンシー・ファンド（毎月決算型）,JP90C0000037
2,しんきんインデックスファンド２２５,JP90C00000B4
3,しんきんトピックスオープン,JP90C00000C2
4,しんきん好配当利回り株ファンド,JP90C00000D0
5,しんきん国内債券ファンド,JP90C00000E8
6,フコクＳＲＩ（社会的責任投資）ファンド,JP90C00000F5
7,しんきんＪリートオープン（毎月決算型）,JP90C00000G3
8,しんきん海外ソブリン債セレクション（欧州ソブリン債ポートフォリオ）,JP90C00000R0
9,しんきん海外ソブリン債セレクション（米国ソブリン債ポートフォリオ）,JP90C00000S8
10,しんきん海外ソブリン債セレクション（欧米ソブリン債ポートフォリオ）,JP90C00000T6
11,しんきん３資産ファンド（毎月決算型）,JP90C00000U4
12,しんきん世界好配当利回り株ファンド（毎月決算型）,JP90C00000V2
13,しんきん好配当利回り株ファンド（３ヵ月決算型）,JP90C00000W0
14,しんきんグローバル６資産ファンド（毎月決算型）,JP90C00000X8
15,ＤＣ日産株ファンド,JP90C00002S4
16,日本株式インデックスファンド,JP90C00002U0
17,日本債券インデックスファンド,JP90C00002V8
18,外国株式インデックスファンド,JP90C00002W6
19,外国債券インデックスファンド,JP90C00002X4
20,ＤＣ日本株式インデックスファンド,JP90C0000326
21,ＤＣ日本債券インデックスファンド,JP90C0000334
22,ＤＣ外国株式インデックスファンド,JP90C0000342
23,ＤＣ外国債券インデックスファンド,JP90C0000359
24,ＤＣ日本株式インデックスファンドＬ,JP90C0000367
25,ＤＣ日本株式インデックスファンドＡ,JP90C0000375
26,ＤＣ日本債券インデックスファンドＬ,JP90C0000391
27,ＤＣ外国株式インデックスファンドＬ,JP90C00003A0
28,ＤＣ外国債券インデックスファンドＬ,JP90C00003B8
29,ＤＣ日本株式エクセレント・フォーカス,JP90C00003C6
30,Ｊリートファンド,JP90C00003D4
31,高金利ソブリンオープン,JP90C00003E2
32,日本株配当オープン,JP90C00003G7
33,３資産バランスオープン,JP90C00003H5
34,３資産バランスオープンアルファ,JP90C00003J1
35,ＤＣバランスファンド３０,JP90C00003K9
36,ＤＣバランスファンド５０,JP90C00003L7
37,ＤＣバランスファンド７０,JP90C00003M5
38,イーストスプリング米国高利回り社債オープン,JP90C00005D9
39,イーストスプリング・アジア・オセアニア好配当株式ファンド（適格機関投資家専用）,JP90C00005L2
40,イーストスプリング・アジア・オセアニア好配当株式オープン（毎月分配型）,JP90C00005M0
41,イーストスプリング・アジア・オセアニア好配当株式オープン,JP90C00005N8
42,イーストスプリング・インド株式オープン,JP90C00005P3
43,イーストスプリング国内債券ファンド（国債）追加型Ｉ（適格機関投資家向け）,JP90C00005S7
44,スーパー小型株ポートフォリオ,JP90C00006U1
45,三井住友・日本株オープン,JP90C00006W7
46,三井住友・株式アナライザー・オープン,JP90C0000755
47,三井住友・２２５オープン,JP90C0000789
48,シナプス（Ｓｙｎａｐｓｅ）,JP90C00007B9
49,三井住友・ス−パ−アクティブ・オ−プン,JP90C00007C7
50,三井住友・日本株・成長力ファンド,JP90C00007E3
51,三井住友・日本株グロース・オープン,JP90C00007G8
52,三井住友・げんきシニアライフ・オ−プン,JP90C00007U9
53,三井住友・日経２２５オープン,JP90C00007W5
54,三井住友・ＤＣ日本株式リサーチファンド,JP90C00007X3
55,三井住友・グローバル株式年金ファンドＡコース（為替ヘッジあり）,JP90C00007Y1
56,三井住友・グローバル株式年金ファンドＢコース（為替ヘッジなし）,JP90C00007Z8
57,三井住友・バリュー株式年金ファンド,JP90C0000821
58,三井住友・年金プラン３０,JP90C0000839
59,三井住友・年金プラン５０,JP90C0000847
60,三井住友・年金プラン７０,JP90C0000854
61,三井住友・ライフビュー・日本株式ファンド,JP90C00008B7
62,三井住友・ライフビュー・日本債券ファンド,JP90C00008C5
63,三井住友・ライフビュー・バランスファンド３０（安定型）,JP90C00008D3
64,三井住友・ライフビュー・バランスファンド５０（標準型）,JP90C00008E1
65,三井住友・ライフビュー・バランスファンド７０（積極型）,JP90C00008F8
66,三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０１０,JP90C00008G6
67,三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０２０,JP90C00008H4
68,三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０３０,JP90C00008J0
69,三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０４０,JP90C00008K8
70,三井住友・ワールド・パッケージ・オープン,JP90C00008L6
71,三井住友・ＤＣバランスファンド（安定型）,JP90C00008M4
72,三井住友・ＤＣバランスファンド（安定成長型）,JP90C00008N2
73,三井住友・ＤＣバランスファンド（成長型）,JP90C00008P7
74,三井住友・ＤＣ国内株式アクティブＳ,JP90C00008Q5
